generation_id,objective,is_feasible,path
Gen 00079,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00080,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00081,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00082,45.642999999999994,True,['1' '2' '3' '6' '17' '28' '70' '62' '139' '108' '211']
Gen 00083,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00084,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00085,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00086,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00087,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00088,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00089,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00090,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00091,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00092,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00093,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00094,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00095,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00096,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00097,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00098,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00099,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00100,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00101,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00102,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00103,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00104,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00105,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00106,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00107,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
Gen 00108,45.461999999999996,True,['1' '2' '3' '6' '17' '28' '68' '62' '139' '108' '211']
